codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ENVASE,ING-VAR-0001,ING,VAR,Varios / revisar,Varios,VARIOS,nan,kg,0.00,0.0000,,,,,,,,,revisar,descripcion vacía o no informativa; familia actual sin clasificar/varios
ING-0544,ING-PAS-0001,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,BICARBONATO SODICO 950 G,kg,0.00,3.6700,CONSUM,EL VESUBIO bicarbonato 300 g,0.3000,kg,1.1000,2026-06-13,https://tienda.consum.es/es/p/bicarbonato/7399459,Precio con IVA. €/kg indicado por tienda.,revisar,pastelería sin subclasificación clara
ING-0547,ING-PAS-0002,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,CABELLO ANGEL,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0556,ING-PAS-0003,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,CARGAS SIFON 24Unida,kg,0.00,14.3000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0557,ING-PAS-0004,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,CARGAS SODA 10UN,kg,0.00,4.9100,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0558,ING-PAS-0005,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,CASTAÑA CONGELADA 1k,kg,0.00,16.5500,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0581,ING-PAS-0006,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,DISCO ORO BOR LISO 26 CM,kg,0.00,19.2000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0583,ING-PAS-0007,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,FARTONS,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0591,ING-PAS-0008,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,"GEL BRILLO CUBO 1,4K",kg,0.00,3.8700,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0592,ING-PAS-0009,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,GELATINA HOJAS 1K,kg,0.00,27.1692,MAKRO,ROYAL gelatina neutra en bote 650 g,0.6500,kg,17.6600,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X481952/0032/0021/Royal-gelatina-neutra-botella-650g,Equivalente a gelatina en hojas para escandallo; no formato hojas 1 kg. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0594,ING-PAS-0010,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,GUINDAS ROJAS 160g,kg,0.00,1.3000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0603,ING-PAS-0011,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,HORCHATA CONCENTRADA,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0607,ING-PAS-0012,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,KEFIR 500 g,kg,0.00,1.6900,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0615,ING-PAS-0013,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,LEVADURA FRESCA MAKRO 2X25G 20 UD,kg,0.00,8.0600,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0616,ING-PAS-0014,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,LEVADURA EN POLVO/SECA 60 GX 5UD,kg,0.00,83.2727,CONSUM,"ROYAL levadura panadería 5 sobres 27,5 g",0.0275,kg,2.2900,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-cafe/reposteria-para-preparar/levadura/5253,Precio con IVA. Convertido a €/kg. Equivalente retail; no formato 60 g x 5.,revisar,pastelería sin subclasificación clara
ING-0617,ING-VAR-0002,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,LEVADURA QUIMICA ROYAL 900G,kg,0.00,5.1900,,,,,,,,,revisar,familia actual sin clasificar/varios
ING-0618,ING-PAS-0015,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,MACADAMIA,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0620,ING-PAS-0016,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,MANGAS DESECHABLES 40cm 100u,kg,0.00,6.8800,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0621,ING-PAS-0017,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,MANGAS DESECHABLES 55cm 100u,kg,0.00,9.9800,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0627,ING-PAS-0018,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,MEMBRILLO 310G,kg,0.00,3.7500,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0637,ING-PAS-0019,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,NEULA OBLEAS,kg,0.00,11.4300,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0640,ING-PAS-0020,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,OREJONES 1K,kg,0.00,7.6900,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0655,ING-PAS-0021,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,PIÑONES CHINOS 1K DIEXPA,kg,0.00,32.1700,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0691,ING-PAS-0022,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA ACIDO ASCORBICO,kg,0.00,25.7100,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0692,ING-PAS-0023,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA ALGINATO,kg,0.00,84.9067,MAKRO,SOSA Ingredients alginato sodio 750 g,0.7500,kg,63.6800,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X148025/0032/0021/Sosa-ingredients-gelificante-alginato-sodio-750-g,Precio con IVA/IGIC incluido. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0693,ING-PAS-0024,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA ELASTIC 750G,kg,0.00,35.0400,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0694,ING-PAS-0025,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA GEL BURGUER SOSA,kg,0.00,23.1500,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0695,ING-PAS-0026,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA LECITINA DE SOJA 400G,kg,0.00,72.2000,MAKRO,SOSA Ingredients lecitina de soja en polvo 400 g,0.4000,kg,28.8800,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X141876/0032/0021/Sosa-ingredients-lecitina-de-soja-en-polvo-bote-de-400g,Precio con IVA/IGIC incluido. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0696,ING-PAS-0027,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA MALTODEXTRINA SOSA,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0697,ING-PAS-0028,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA METILCELULOSA SOSA,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0698,ING-PAS-0029,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA PECTINA NH 700G,kg,0.00,28.2300,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0699,ING-PAS-0030,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA PETA ZETAS BLANCO 500G,kg,0.00,12.2500,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0701,ING-PAS-0031,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA PROESPUMA FRIO 700G,kg,0.00,18.5286,MAKRO,SOSA Ingredients proespuma frío 700 g,,700 g,12.9700,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X141867/0032/0021/Sosa-ingredients-base-en-polvo-proespuma-fr%C3%ADo-700gr,Precio con IVA/IGIC incluido. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0702,ING-PAS-0032,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA TEXTURAS CRUTOMAT 400G,kg,0.00,18.9000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0703,ING-PAS-0033,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,SOSA XANTANA,kg,0.00,50.8000,MAKRO,SOSA Ingredients xantana goma bote 500 g,0.5000,kg,25.4000,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X168149/0032/0021/Sosa-ingredients-xantana-goma-bote-500g,Precio con IVA/IGIC incluido. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0727,ING-SECOS-0001,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ALL I OLI 1K makro,kg,0.00,7.8000,CONSUM,CHOVI salsa allioli PET 250 ml,0.2500,l,1.9500,2026-06-13,https://tienda.consum.es/vl/p/salsa-allioli-pet/7262413,Precio con IVA. €/L indicado por tienda. Se usa como aproximación €/kg por densidad similar.,revisar,almacén seco sin subclasificación clara
ING-0746,ING-SECOS-0002,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,CALDO VEGETAL POLVO KNORR 1KG,l,0.00,7.8000,MAKRO,KNORR Professional caldo vegetal en polvo 1 kg,1.0000,kg,7.8000,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X164137/0032/0021/Knorr-Professional-caldo-vegetal-en-polvo-1kg,Precio con IVA/IGIC incluido. €/kg.,revisar,almacén seco sin subclasificación clara
ING-0749,ING-SECOS-0003,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,CEBOLLITAS ENCURTIDAS,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0754,ING-SECOS-0004,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ESPAGHETTI ARO 1 KG,kg,0.00,1.2000,CONSUM,CONSUM spaghetti paquete 1 kg,1.0000,kg,1.2000,2026-06-13,https://tienda.consum.es/es/p/spaghetti-paquete/7262488,Precio con IVA. €/kg.,revisar,almacén seco sin subclasificación clara
ING-0756,ING-SECOS-0005,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,"ESPARRAGOS BLANCO TALLO 1,5 K",kg,0.00,4.0300,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0757,ING-SECOS-0006,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ESPARRAGOS P.B.9-12 ARO LT 500,kg,0.00,4.9400,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0782,ING-SECOS-0007,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ESPIRULINA,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0783,ING-SECOS-0008,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ESTERILLA SUSHI,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0784,ING-SECOS-0009,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,FABES ASTURIANAS,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0787,ING-SECOS-0010,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,FIFEO FINO Nº 2 gallo 3k,kg,0.00,2.6700,CONSUM,GALLO fideo 2 paquete 450 g,0.4500,kg,1.2000,2026-06-13,https://tienda.consum.es/es/p/fideo-2-paquete/7364961,Precio con IVA. €/kg indicado por tienda. El inventario indica 3 kg; se usa formato retail 450 g.,revisar,almacén seco sin subclasificación clara
ING-0793,ING-SECOS-0011,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,GAZPACHO MANCHEGO 10 TORTAS,kg,0.00,5.2500,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0794,ING-SECOS-0012,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,GUINDILLA VASCA 120G,kg,0.00,1.2800,,,,,,,,,revisar,almacén seco sin subclasificación clara
